country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","15-07-2026 16:00:00",28.570173,76.933762,NH3,5,9,6
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","15-07-2026 16:00:00",28.570173,76.933762,OZONE,12,30,21
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC","15-07-2026 16:00:00",28.594169,77.1251,PM2.5,11,43,23
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC","15-07-2026 16:00:00",28.594169,77.1251,CO,27,43,32
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","15-07-2026 16:00:00",28.672342,77.31526,OZONE,16,37,28
India,Delhi,Delhi,"Alipur, Delhi - DPCC","15-07-2026 16:00:00",28.815329,77.15301,PM2.5,23,78,52
India,Delhi,Delhi,"Alipur, Delhi - DPCC","15-07-2026 16:00:00",28.815329,77.15301,OZONE,5,14,11
India,Delhi,Delhi,"Rohini, Delhi - DPCC","15-07-2026 16:00:00",28.732528,77.11992,PM10,87,255,156
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","15-07-2026 16:00:00",28.594004,76.909423,CO,43,48,47
India,Delhi,Delhi,"JNU, Delhi - DPCC","15-07-2026 16:00:00",28.540721,77.168544,NH3,0,8,2
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","15-07-2026 16:00:00",28.656756,77.227234,PM10,60,112,80
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","15-07-2026 16:00:00",28.656756,77.227234,NH3,4,7,5
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","15-07-2026 16:00:00",28.531346,77.190156,NO2,11,46,24
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","15-07-2026 16:00:00",28.531346,77.190156,SO2,13,19,16
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","15-07-2026 16:00:00",28.6811736,77.3025234,NH3,5,6,6
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","15-07-2026 16:00:00",28.376058,77.315741,SO2,5,11,9
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","15-07-2026 16:00:00",28.39072,77.30059,PM2.5,61,313,108
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","15-07-2026 16:00:00",28.39072,77.30059,OZONE,14,14,14
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","15-07-2026 16:00:00",28.4417,77.3217,NH3,8,13,9
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","15-07-2026 16:00:00",28.4417,77.3217,SO2,2,4,4
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","15-07-2026 16:00:00",29.503664,75.467934,NO2,18,21,19
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","15-07-2026 16:00:00",29.503664,75.467934,CO,45,47,47
